scenario,avoided_loss,mean_loss,mitigation_rate,effective_use_rate,adopt_T3,service_T3,mean_effort_T3,mean_wait_days,peak_wait_days,backlog_mu,mean_income,income_p10,gini,exit_rate,fiscal_cost,equity_gap,mountain_gap,recovery_seasons,capacity_end,trust_end,avoided_vs_baseline,extra_fiscal_cost,avoided_per_1k_spent,pareto
baseline,0.0015612571849043405,0.08527092212167658,0.012185451209539906,0.1311728395061728,0.11728395061728394,0.11728395061728394,0.670829871176255,8.948065304548718,15.878008308855891,70.83142590160027,10489.645257401724,2499.2208922523505,0.4616228000823779,0.0,0.0,0.00309695057146063,0.0028956464345766637,1.167060278902384,0.1636122630606905,0.5102592245370372,0.0,0.0,,True
integrated,0.0029686994466923385,0.08386347985988858,0.01861067219053879,0.21450617283950615,0.16975308641975306,0.16975308641975306,0.6809624561944567,1.7161553192891215,3.8423577647193516,0.0,10502.682970107806,2499.2208922523505,0.46227886212270797,0.0,5501.543588267739,0.005326017769334047,0.004901271162592346,1.1228070175438596,45.839593263060685,0.5182326813271605,0.001407442261787998,5501.543588267739,0.00025582679464531094,True
mountain_equity,0.0018487567766375889,0.08498342252994333,0.013458976153309335,0.14351851851851852,0.12037037037037036,0.12037037037037036,0.6508791918055616,6.111210818344341,9.781386596563259,39.02655834311123,10489.909759942457,2499.2208922523505,0.46204373905536866,0.0,0.0,0.004460073871725707,0.002194957470427842,1.1495164192532612,0.1636122630606905,0.5125336766975309,0.0002874995917332484,0.0,,True
training_maintenance,0.0017086191021862852,0.08512356020439465,0.01342453835053559,0.16203703703703703,0.13734567901234568,0.13734567901234568,0.619893182178259,6.70532942937855,13.447772733532329,61.394044468174044,10486.181397791064,2499.2208922523505,0.46370958486877667,0.0,0.0,0.0039287306891221474,0.0029053540007327526,1.167060278902384,0.1636122630606905,0.5108422492283952,0.00014736191728194478,0.0,,True
warning_response,0.0009490032161490827,0.08588317609043185,0.00817463095151556,0.10802469135802469,0.09104938271604937,0.09104938271604937,0.6468988003535787,8.65790208900544,13.77671433983061,58.63517679973542,10478.262127149934,2499.2208922523505,0.4614708495347072,0.0,0.0,0.0020427011102629117,0.001593617382871917,1.167060278902384,0.1636122630606905,0.5052168865740742,-0.0006122539687552578,0.0,,True
