c1_farmer,c2_provider,curvature,e_star,J_star,b_star,interior,feasible,expected_payment
0.12,0.12,linear,0.42666520246833045,0.3969625383273782,0.42280198504554534,True,True,0.22643390040222847
0.12,0.31,concave,0.6828355498244842,0.5337810359316115,0.16804535011035732,True,True,0.12257158914237273
0.12,0.5,concave,1.0,0.6529192174262327,0.04820544541537588,False,True,0.040467894675544305
0.12,0.6900000000000001,concave,1.0,0.6954919275687305,0.0013563323746526032,False,True,0.0012007358101163797
0.12,0.88,concave,1.0,0.6967942901306248,1e-08,False,True,9.075759170413558e-09
0.31,0.12,convex,0.44465894511467435,0.623223198906012,0.5322876225140004,True,True,0.2320888180045313
0.31,0.31,linear,0.7204531353974456,0.7804951113080464,0.23243546075247865,True,True,0.13017263508262877
0.31,0.5,concave,1.0,0.9178079947090554,0.060982760125028734,False,True,0.04172814915732744
0.31,0.6900000000000001,concave,1.0,0.966051614384113,0.0016379836067848333,False,True,0.0012333964495784891
0.31,0.88,concave,1.0,0.9675352781843785,1e-08,False,True,7.9476897731541e-09
0.5,0.12,convex,0.46499738294853826,1.0717936882986228,0.5738299375694914,True,True,0.23595724663411563
0.5,0.31,convex,0.7693567571940964,1.2545455011287976,0.28792996131192766,True,True,0.13908162799981516
0.5,0.5,linear,1.0,1.4110033615720774,0.07438641138621839,False,True,0.043392073308627384
0.5,0.6900000000000001,concave,1.0,1.4649286802662609,0.001954348165034912,False,True,0.0012836093419700907
0.5,0.88,concave,1.0,1.4666050791480114,1e-08,False,True,7.08203696701238e-09
0.6900000000000001,0.12,convex,0.4911136137319097,2.1723344713813666,0.595707080051675,True,True,0.2396073973335472
0.6900000000000001,0.31,convex,0.8316901999361762,2.3881243358412894,0.3345944177984083,True,True,0.14921901969898443
0.6900000000000001,0.5,convex,1.0,2.565671039015471,0.08813766142649748,False,True,0.04522057760766648
0.6900000000000001,0.6900000000000001,linear,1.0,2.6253517543135656,0.002307286958054784,False,True,0.001345917392198624
0.6900000000000001,0.88,concave,1.0,2.6272323936505946,1e-08,False,True,6.394361907097662e-09
0.88,0.12,convex,0.5314064778592519,7.117202233593571,0.6105865105964059,True,True,0.2444612201940721
0.88,0.31,convex,0.9198669224952467,7.377944429989058,0.37702770225350407,True,True,0.16250926850637298
0.88,0.5,convex,1.0,7.579032438908965,0.1019313649047119,False,True,0.04709623026222116
0.88,0.6900000000000001,convex,1.0,7.644589969047729,0.0026985032092546697,False,True,0.0014173029689619767
0.88,0.88,linear,1.0,7.646686395635804,2.0967948105663106e-11,False,True,1.2231303061636813e-11
