regime,mean_effort_T3,effective_use_rate,mean_loss_fraction,avoided_loss_fraction,mean_income
first-best (fully verifiable),0.8171232004869511,0.11728395061728394,0.07321839204217756,0.0036990237535644986,9448.819380247709
partial monitoring (as configured),0.7431205974451056,0.08641975308641975,0.07377452817371119,0.0031428876220308617,9430.499374450243
no monitoring (shirking),0.4623172935869265,0.0,0.07506413484329322,0.0018532809524488337,9384.83369889302
