scenario,rep,avoided_loss,mean_loss,mitigation_rate,effective_use_rate,adopt_T3,service_T3,mean_effort_T3,mean_wait_days,peak_wait_days,backlog_mu,mean_income,income_p10,gini,exit_rate,fiscal_cost,equity_gap,mountain_gap,recovery_seasons,capacity_end,trust_end
baseline,0,0.0022472839579863397,0.14672343131766186,0.007200362613269318,0.1450617283950617,0.10493827160493827,0.10493827160493827,0.6973463306158991,11.833829939201543,19.827616085691552,100.76150178548195,10563.598616237326,2187.0810040505417,0.48759604713406507,0.0,0.0,0.004712152724555251,0.004136031246749837,1.280701754385965,0.18019958462529825,0.47796358410493833
baseline,1,0.0008752304118223413,0.023818412925691316,0.017170539805810493,0.11728395061728394,0.12962962962962962,0.12962962962962962,0.6443134117366109,6.062300669895893,11.92840053202023,40.90135001771859,10415.691898566121,2811.360780454159,0.4356495530306907,0.0,0.0,0.0014817484183660096,0.0016552616224034908,1.0534188034188032,0.14702494149608275,0.542554864969136
subsidy,0,0.0019835292207739984,0.1469871860548742,0.006378620706806621,0.15740740740740738,0.09876543209876543,0.09876543209876543,0.6264170166784532,10.601183317785885,19.827616085691552,78.76594285744413,10489.035956634973,2187.0810040505417,0.48584006627344795,0.0,7805.856786074302,0.005520783249651652,0.0031022708895136553,1.4444444444444444,0.18019958462529825,0.4759067939814815
subsidy,1,0.0008519222288544108,0.02384172110865925,0.016392365301739,0.10185185185185185,0.09567901234567901,0.09259259259259259,0.6328877082316299,4.983315523382078,11.469272603008948,15.825405281800771,10306.169913904792,2811.360780454159,0.4318484146434531,0.0,14213.146390736983,0.0014685477774968908,0.0015917893024315545,1.0,0.14702494149608275,0.5451887692901235
voucher,0,0.004071106909979598,0.1448996083656686,0.013073406636259353,0.1882716049382716,0.15740740740740738,0.15740740740740738,0.7230356079220981,9.33534426224047,15.52810454091963,76.04829437104758,10598.228315509099,2187.0810040505417,0.488794453262507,0.0,5701.790999366224,0.00924625341458919,0.006938527936451015,1.2456140350877192,0.18019958462529825,0.48622654706790136
voucher,1,0.0008932216654779638,0.023800421672035693,0.01693440743176071,0.12345679012345678,0.1388888888888889,0.1388888888888889,0.6191244205093924,8.59899651372068,11.730101266441055,72.01725180322728,10432.897723604732,2811.360780454159,0.43590296808989915,0.0,5950.919108395649,0.0019411907164964236,0.0017386802604448706,1.0534188034188032,0.14702494149608275,0.5401574266975309
voucher_plus_capacity,0,0.005132085911004151,0.14383862936464403,0.016492185988153035,0.25,0.19135802469135801,0.19135802469135801,0.7099112029536594,1.7110250075691367,3.83004258164149,0.0,10655.080925225688,2187.0810040505417,0.49145511501907624,0.0,7071.650168779456,0.010370842593331821,0.008492019460718057,1.2456140350877192,68.6941710846253,0.49422592978395075
voucher_plus_capacity,1,0.0008983829989529265,0.023795260338560734,0.017100042431506257,0.12654320987654322,0.14814814814814814,0.14814814814814814,0.6119978729639568,1.6003664534494821,3.399010410519648,0.0,10418.775769173037,2796.0688277076165,0.4362555106014243,0.0,7007.071199002837,0.0017656478106868045,0.0016264102605947587,1.0534188034188032,68.66099644149608,0.5448534143518518
training_maintenance,0,0.0024910732738873216,0.1464796420017609,0.008043971133002667,0.1574074074074074,0.15740740740740738,0.15740740740740738,0.658428613954072,6.6185323618296605,13.38543014034466,81.38340710887886,10554.725362731962,2187.0810040505417,0.49165591433634653,0.0,0.0,0.006145229535522327,0.004004975391937748,1.280701754385965,0.18019958462529825,0.47870062114197537
training_maintenance,1,0.0009261649304852488,0.02376747840702841,0.01880510556806851,0.16666666666666666,0.11728395061728394,0.11728395061728394,0.5813577504024459,6.79212649692744,13.510115326719996,41.40468182746923,10417.637432850168,2811.360780454159,0.43576325540120675,0.0,0.0,0.0017122318427219671,0.001805732609527757,1.0534188034188032,0.14702494149608275,0.5429838773148149
