scenario,avoided_loss,mean_loss,mitigation_rate,effective_use_rate,adopt_T3,service_T3,mean_effort_T3,mean_wait_days,peak_wait_days,backlog_mu,mean_income,income_p10,gini,exit_rate,fiscal_cost,equity_gap,mountain_gap,recovery_seasons,capacity_end,trust_end,avoided_vs_baseline,extra_fiscal_cost,avoided_per_1k_spent
baseline,0.0015612571849043405,0.08527092212167658,0.012185451209539906,0.1311728395061728,0.11728395061728394,0.11728395061728394,0.670829871176255,8.948065304548718,15.878008308855891,70.83142590160027,10489.645257401724,2499.2208922523505,0.4616228000823779,0.0,0.0,0.00309695057146063,0.0028956464345766637,1.167060278902384,0.1636122630606905,0.5102592245370372,0.0,0.0,
insurance,0.0015612571849043405,0.08527092212167658,0.012185451209539906,0.1311728395061728,0.11728395061728394,0.11728395061728394,0.670829871176255,8.948065304548718,15.878008308855891,70.83142590160027,10506.354424751118,2500.5341448024237,0.4598286964657885,0.0,234692.63572044074,0.00309695057146063,0.0028956464345766637,1.17485754985755,0.1636122630606905,0.5102592245370372,0.0,234692.63572044074,0.0
integrated,0.0029686994466923385,0.08386347985988858,0.01861067219053879,0.21450617283950615,0.16975308641975306,0.16975308641975306,0.6809624561944567,1.7161553192891215,3.8423577647193516,0.0,10502.682970107806,2499.2208922523505,0.46227886212270797,0.0,5501.543588267739,0.005326017769334047,0.004901271162592346,1.1228070175438596,45.839593263060685,0.5182326813271605,0.001407442261787998,5501.543588267739,0.00025582679464531094
mountain_equity,0.0018487567766375889,0.08498342252994333,0.013458976153309335,0.14351851851851852,0.12037037037037036,0.12037037037037036,0.6508791918055616,6.111210818344341,9.781386596563259,39.02655834311123,10489.909759942457,2499.2208922523505,0.46204373905536866,0.0,0.0,0.004460073871725707,0.002194957470427842,1.1495164192532612,0.1636122630606905,0.5125336766975309,0.0002874995917332484,0.0,
subsidy,0.0014177257248142046,0.08541445358176673,0.011385493004272811,0.12962962962962962,0.09722222222222221,0.09567901234567901,0.6296523624550415,7.792249420583982,15.64844434435025,47.29567406962245,10397.602935269882,2499.2208922523505,0.4588442404584505,0.0,11009.501588405643,0.0034946655135742717,0.002347030095972605,1.2222222222222223,0.1636122630606905,0.5105477816358025,-0.00014353146009013582,11009.501588405643,-1.3037053397702588e-05
training_maintenance,0.0017086191021862852,0.08512356020439465,0.01342453835053559,0.16203703703703703,0.13734567901234568,0.13734567901234568,0.619893182178259,6.70532942937855,13.447772733532329,61.394044468174044,10486.181397791064,2499.2208922523505,0.46370958486877667,0.0,0.0,0.0039287306891221474,0.0029053540007327526,1.167060278902384,0.1636122630606905,0.5108422492283952,0.00014736191728194478,0.0,
voucher,0.002482164287728781,0.08435001501885214,0.015003907034010031,0.1558641975308642,0.14814814814814814,0.14814814814814814,0.6710800142157453,8.967170387980575,13.629102903680343,74.03277308713743,10515.563019556916,2499.2208922523505,0.4623487106762031,0.0,5826.355053880937,0.005593722065542807,0.004338604098447943,1.1495164192532612,0.1636122630606905,0.5131919868827162,0.0009209071028244407,5826.355053880937,0.0001580588711652621
voucher_plus_capacity,0.0030152344549785387,0.08381694485160238,0.016796114209829648,0.1882716049382716,0.16975308641975306,0.16975308641975306,0.6609545379588081,1.6556957305093094,3.614526496080569,0.0,10536.928347199362,2491.574915879079,0.4638553128102503,0.0,7039.360683891146,0.006068245202009313,0.005059214860656408,1.1495164192532612,68.67758376306068,0.5195396720679013,0.0014539772700741982,7039.360683891146,0.0002065496193995963
warning_response,0.0009490032161490827,0.08588317609043185,0.00817463095151556,0.10802469135802469,0.09104938271604937,0.09104938271604937,0.6468988003535787,8.65790208900544,13.77671433983061,58.63517679973542,10478.262127149934,2499.2208922523505,0.4614708495347072,0.0,0.0,0.0020427011102629117,0.001593617382871917,1.167060278902384,0.1636122630606905,0.5052168865740742,-0.0006122539687552578,0.0,
