design,naive_adopter_effect,causal_mitigation_rate,selection_inflation,pre_shock_income,shock_season_income,income_drop_pct,recovery_seasons,loss_shock_season,avoided_shock_season,loss_adopters,loss_non_adopters,n_adopters,n_non_adopters,exit_rate_end,cumulative_loss_area
no shock (counterfactual),,0.0,,11406.557882568153,11406.557882568153,0.0,0.0,0.0,0.0,0.0,0.0,19,62,0.0,0.0
D1 drought,0.27236501765051363,0.0020905597850483775,130.28329521999814,11406.557882568153,11400.147557195613,0.056198595917679395,0.0,0.0005045116942802362,1.0569214165582967e-06,0.0003921543504155548,0.00053894378352909,19,62,0.0,0.0005045116942802362
D2 flood,0.08646723244973087,0.02607784962014483,3.31573475992959,11406.557882568153,11314.647738996942,0.8057658104875862,0.0,0.005960604077862886,0.00015960180875556102,0.0055579356199237625,0.006084002476263584,19,62,0.0,0.005960604077862886
D3 compound (tech degraded),-0.10096268717960931,0.002919239248391779,-34.58527328146539,11406.557882568153,8017.886058021399,29.708101772975926,1.0,0.19952283456253805,0.0005841601929680012,0.2148468591531749,0.19514454182235616,18,63,0.0,0.19952283456253805
"D1 then D2 (repeat, different type)",0.27236501765051363,0.0020905597850483775,130.28329521999814,11406.557882568153,11400.147557195613,0.056198595917679395,0.0,0.0005045116942802362,1.0569214165582967e-06,0.0003921543504155548,0.00053894378352909,19,62,0.0,0.0005104693809462168
D2 then D3 (escalating),0.08340563987306546,0.02607784962014483,3.198332726354691,11406.557882568153,11314.647738996942,0.8057658104875862,0.0,0.005960604077862886,0.00015960180875556102,0.0055433681090974575,0.0060477877131273035,14,67,0.0,0.17433608494296132
D3 twice (repeated compound),-0.07501048063143041,0.002919239248391779,-25.695215173869013,11406.557882568153,8017.886058021399,29.708101772975926,2.0,0.19952283456253805,0.0005841601929680012,0.21213178902784405,0.1973299729163979,12,69,0.0,0.3679077644592239
