season,year,shocks,effective_use_rate,mean_wait_days,backlog_mu,mean_loss_fraction,avoided_loss_fraction,mitigation_rate,mean_income,income_p10,gini_income,exit_rate,fiscal_spend,fiscal_cumulative,equity_gap,mountain_gap,capacity_units,reliability,trust,capable_share,recovery_seasons_mean,adopt_T1,adopt_T2,adopt_T3,service_T1,service_T2,service_T3,effort_T1,effort_T2,effort_T3,contract_linear,contract_concave,contract_convex,contract_self,contract_infeasible,scenario,rep
1,0.5,,0.16049382716049382,3.252937746678935,0.0,0.0,0.0,0.0,13139.862672239056,2986.805585542871,0.5037922431804086,0.0,0.0,0.0,0.0,0.0,0.2101759260828672,0.892,0.5475000000000001,0.20201234567901236,,0.2962962962962963,0.0,0.12345679012345678,0.2962962962962963,0.0,0.12345679012345678,0.5641650910368223,0.0,0.6719414931403752,0,8,26,0,0,baseline,0
2,1.0,D2,0.16049382716049382,9.953595099300983,97.5689883298571,0.30629724221558263,0.008369380166599976,0.02659761020485621,7318.852182374346,1430.0732486348188,0.4468913100739333,0.0,0.0,0.0,0.018342161587191593,0.015388069057794246,0.19966712977872383,0.88496,0.5120385802469136,0.18582345679012346,1.0,0.2222222222222222,0.0,0.08641975308641975,0.2222222222222222,0.0,0.08641975308641975,0.7135793547674756,0.0,0.7374694981338363,1,9,13,0,0,baseline,0
3,1.5,,0.1111111111111111,14.301170825134697,125.19748210678722,0.0,0.0,0.0,13110.473574849451,3173.2337451459534,0.46109349590981874,0.0,0.0,0.0,0.0,0.0,0.18968377328978764,0.8787647999999999,0.5102020833333334,0.17001888888888889,1.4210526315789473,0.25925925925925924,0.0,0.12345679012345678,0.25925925925925924,0.0,0.12345679012345678,0.5599359619341798,0.0,0.6772671913350878,1,13,15,0,0,baseline,0
4,2.0,D3,0.14814814814814814,19.827616085691552,180.27953670528348,0.2805964830550648,0.0006197556653453827,0.002203840248221064,8685.20603548645,1158.2114368785235,0.5386071393720997,0.0,0.0,0.0,0.00050644931102941,0.0011560559292051,0.18019958462529825,0.7193624268736712,0.47796358410493833,0.1567207037037037,1.4210526315789473,0.2222222222222222,0.012345679012345678,0.08641975308641975,0.2222222222222222,0.012345679012345678,0.08641975308641975,0.7165047796744854,0.0,0.7027071398542971,1,10,13,0,0,baseline,0
1,0.5,D2,0.12345679012345678,2.8624719091001785,0.0,0.06508977588480645,0.002523910678689245,0.037328399129946156,9949.34881617316,2672.504289796235,0.44946990431159933,0.0,0.0,0.0,0.004317895374449318,0.004915725099788101,0.1714826551929818,0.892,0.5530555555555556,0.20108641975308642,,0.18518518518518517,0.0,0.1111111111111111,0.18518518518518517,0.0,0.1111111111111111,0.7060816794801799,0.0,0.5945699848050474,0,7,17,0,0,baseline,1
2,1.0,,0.08641975308641975,4.730970135332541,28.47566758618613,0.0,0.0,0.0,11135.183351115802,2793.4217281280635,0.44508790125828984,0.0,0.0,0.0,0.0,0.0,0.1629085224333327,0.88496,0.5497854938271606,0.18313827160493826,1.0,0.1728395061728395,0.0,0.09876543209876543,0.1728395061728395,0.0,0.09876543209876543,0.5136059966982266,0.0,0.6956113236554797,0,2,19,0,0,baseline,1
3,1.5,,0.14814814814814814,11.92840053202023,111.97555224834588,0.0,0.0,0.0,10013.786332800186,2959.216457573954,0.40761942597576256,0.0,0.0,0.0,0.0,0.0,0.15476309631166607,0.8787647999999999,0.5454443672839507,0.16852814814814815,1.0833333333333333,0.2222222222222222,0.0,0.1728395061728395,0.2222222222222222,0.0,0.1728395061728395,0.5936253635924398,0.0,0.6670522667648839,0,6,23,0,0,baseline,1
4,2.0,D2,0.1111111111111111,4.727360103130621,23.15418023634237,0.030183875817958814,0.0009770109686001202,0.03135376009329581,10564.44909417534,2820.3006463183833,0.44042098057711115,0.0,0.0,0.0,0.0016090982990147197,0.0017053213898258629,0.14702494149608275,0.8733130239999999,0.542554864969136,0.1544531111111111,1.0769230769230769,0.16049382716049382,0.0,0.13580246913580246,0.16049382716049382,0.0,0.13580246913580246,0.7379895943229033,0.0,0.6200200717210328,0,8,15,0,0,baseline,1
1,0.5,,0.1728395061728395,3.252937746678935,0.0,0.0,0.0,0.0,13082.50084972458,2986.805585542871,0.5035994486304312,0.0,1467.288599255988,1467.288599255988,0.0,0.0,0.2101759260828672,0.892,0.5475000000000001,0.202320987654321,,0.2962962962962963,0.037037037037037035,0.12345679012345678,0.2962962962962963,0.0,0.12345679012345678,0.6114187272140749,0.24583333333333335,0.6358302776762796,0,8,26,3,0,subsidy,0
2,1.0,D2,0.12345679012345678,5.094778578038044,26.566582262039187,0.3075264530643594,0.0071401693178232035,0.022691219245843667,7256.8460859878805,1430.0732486348188,0.4458707241445921,0.0,1455.5444788291409,2922.833078085129,0.020998342475932692,0.011035902991935924,0.19966712977872383,0.88496,0.5090756172839507,0.18517530864197532,,0.18518518518518517,0.024691358024691357,0.04938271604938271,0.18518518518518517,0.0,0.04938271604938271,0.8629928127280674,0.23250000000000004,0.5480393041066006,0,9,9,2,0,subsidy,0
