rep,seed,scenario,mitigation_rate,effective_use_rate,mean_wait_days,income_p10,equity_gap,mountain_gap,fiscal_cumulative
0,81001,baseline,0.023116522519144492,0.11833333333333333,7.392113680696525,2273.4117911064236,2.1860444010215653e-05,2.7103664253550728e-05,0.0
0,81001,subsidy,0.018279370393022396,0.12833333333333333,7.834912761567853,2282.821081872324,3.244779533702168e-05,2.7019264845447693e-05,48883.62081065198
0,81001,voucher,0.018103648785159337,0.14333333333333334,8.750752828003067,2282.821081872324,2.7911071027721818e-05,2.9982368542798478e-05,9412.822460960553
0,81001,voucher_plus_capacity,0.029712054101332857,0.20833333333333334,2.4173643262646745,2282.821081872324,6.722842332388235e-05,5.4896988120025904e-05,13608.282025976907
0,81001,training_maintenance,0.02495423949903311,0.12333333333333334,8.916479108548714,2282.821081872324,3.0944241644804e-05,2.491382104457353e-05,0.0
0,81001,warning_response,0.012718974730048618,0.11666666666666665,11.218788757300239,2282.821081872324,1.825372943528102e-05,1.4507956911367948e-05,0.0
0,81001,insurance,0.023116522519144492,0.11833333333333333,7.392113680696525,2190.448347402291,2.1860444010215653e-05,2.7103664253550728e-05,416807.3837834476
0,81001,mountain_equity,0.0160510354751149,0.14,6.963139514823973,2282.741645241728,3.4363763620526115e-05,2.907884454641694e-05,0.0
0,81001,integrated,0.03303631594042418,0.23666666666666666,2.662261086852569,2282.821081872324,7.478002415798078e-05,4.6664005202253104e-05,9362.944838148995
1,81002,baseline,0.034746775768161084,0.09166666666666667,8.331245675897856,2333.9339710028767,0.001399785843382216,0.0010370298728077335,0.0
1,81002,subsidy,0.040573190005047034,0.09666666666666666,6.444280911451014,2333.9339710028767,0.0021364238361258063,0.0016463508568532615,20060.314317821652
1,81002,voucher,0.050339721835319366,0.09999999999999999,11.850932410190088,2333.9339710028767,0.0025721892403621533,0.0020094599485548374,8797.410308561983
1,81002,voucher_plus_capacity,0.047693341610418626,0.14333333333333334,1.423910780564558,2334.725014549661,0.0016731383185822337,0.0015650570602170082,11317.8027598259
1,81002,training_maintenance,0.036485571440311886,0.10833333333333334,8.95054380235642,2333.9339710028767,0.002556712651904462,0.0017130099376411179,0.0
