scenario,metric,n,mean,sd,p05,median,p95
baseline,mitigation_rate,8,0.02315406162621418,0.009948760449856675,0.010582541322524735,0.0245461490690424,0.03598342979831077
baseline,effective_use_rate,8,0.11,0.027817432013209333,0.06983333333333334,0.12083333333333332,0.14033333333333334
baseline,mean_wait_days,8,8.416730186091685,1.142459659254809,6.774657387387129,8.633257729521816,9.770405782409663
baseline,income_p10,8,2503.1198169987265,422.9651766926574,2075.135853086806,2375.188349939829,3172.367607154847
baseline,equity_gap,8,0.0014731534972067418,0.0022425398088598393,2.4042509318430168e-05,0.0005175798930607436,0.005173515961063623
baseline,mountain_gap,8,0.001196442413914655,0.001965582228129055,2.582918140115254e-05,0.0004541028264316199,0.0043472432834624625
baseline,fiscal_cumulative,8,0.0,0.0,0.0,0.0,0.0
insurance,mitigation_rate,8,0.023429116268779426,0.010387727269823208,0.010582541322524735,0.0245461490690424,0.037370587445923795
insurance,effective_use_rate,8,0.1125,0.02853569193634025,0.06983333333333334,0.12083333333333332,0.1420833333333333
insurance,mean_wait_days,8,8.239670585864292,1.3420966761304427,6.349427901344102,8.48643399053039,9.770405782409663
insurance,income_p10,8,2450.1900698281206,407.32137259094395,2015.2795329907947,2374.991245446941,3078.8715405065427
insurance,equity_gap,8,0.0014654432078261808,0.0022223850500251983,2.4042509318430168e-05,0.0005175798930607436,0.0051334224562847065
insurance,mountain_gap,8,0.0012109921787429728,0.0020053093790746647,2.582918140115254e-05,0.0004541028264316199,0.0044228940298495735
insurance,fiscal_cumulative,8,416579.27605468855,18085.339462088257,395823.7892163226,419925.3761010779,440190.6748005235
integrated,mitigation_rate,8,0.03288032305834018,0.013340524460920615,0.015648426127789404,0.034925591322962586,0.049604283361798354
integrated,effective_use_rate,8,0.18979166666666666,0.04542076215697656,0.12933333333333333,0.2025,0.23608333333333334
integrated,mean_wait_days,8,2.2246261141659733,0.6821943017993869,1.60610908172183,1.9553073137265298,3.2300107111710488
integrated,income_p10,8,2504.305745598394,422.2592446103073,2075.135853086806,2375.188349939829,3172.3949554658498
integrated,equity_gap,8,0.0021292350550020205,0.00331629838492884,5.013424770182973e-05,0.0005032031047667029,0.007713357835052378
integrated,mountain_gap,8,0.001818668331107076,0.0028753393462977823,3.7315353190049064e-05,0.00042445114394540454,0.0066645786346154956
integrated,fiscal_cumulative,8,8637.774823340784,708.5646765130957,7756.490742488105,8480.228311575924,9510.001560689245
mountain_equity,mitigation_rate,8,0.022480444941627077,0.00973590459736193,0.012491384108720593,0.019861092383321247,0.03560898621959809
mountain_equity,effective_use_rate,8,0.11729166666666667,0.02826936055222591,0.08058333333333334,0.13083333333333336,0.14275000000000002
mountain_equity,mean_wait_days,8,7.622874457338288,1.018365058475006,6.03522777117964,7.7554018757077525,8.720040584602584
mountain_equity,income_p10,8,2504.1318904747486,422.2267939009927,2075.135853086806,2374.699300819645,3172.232754710803
mountain_equity,equity_gap,8,0.0013865492422598569,0.00223298311832427,-2.040006523285618e-05,0.0004547314418326629,0.0050024428124881976
mountain_equity,mountain_gap,8,0.0012008254478812284,0.0018949771186638409,2.634048169095638e-05,0.00038187574138365157,0.004349217166545561
mountain_equity,fiscal_cumulative,8,0.0,0.0,0.0,0.0,0.0
subsidy,mitigation_rate,8,0.024792306858977643,0.012558657731357618,0.011122801644034327,0.024352684087324473,0.04056136750721579
subsidy,effective_use_rate,8,0.10854166666666668,0.0247917917163713,0.07708333333333334,0.10666666666666669,0.14133333333333334
subsidy,mean_wait_days,8,7.259175461357007,0.7343188255339445,6.199713319859273,7.399980853401011,7.998108381760251
