scenario,metric,n,mean,sd,p05,median,p95
baseline,mitigation_rate,2,0.01790625483103465,0.012857250655018058,0.009723950618014045,0.01790625483103465,0.026088559044055253
baseline,effective_use_rate,2,0.1367521367521367,0.08461106783428769,0.08290598290598288,0.1367521367521367,0.1905982905982905
baseline,mean_wait_days,2,15.015931451527184,7.755222466866826,10.080538095188567,15.015931451527184,19.951324807865802
baseline,income_p10,2,2504.746790816536,551.9779100490903,2153.470199881735,2504.746790816536,2856.0233817513367
baseline,equity_gap,2,0.0012946981499975347,0.001830979682864193,0.00012946981502627615,0.0012946981499975347,0.0024599264849687933
baseline,mountain_gap,2,0.0011620173700508448,0.0016433407244039625,0.00011620173702739504,0.0011620173700508448,0.0022078330030742945
baseline,fiscal_cumulative,2,0.0,0.0,0.0,0.0,0.0
integrated,mitigation_rate,2,0.034783510111187146,0.02076253026911115,0.021570316758095644,0.034783510111187146,0.04799670346427865
integrated,effective_use_rate,2,0.188034188034188,0.07252377242938951,0.14188034188034185,0.188034188034188,0.23418803418803416
integrated,mean_wait_days,2,5.8563479118688315,1.9646214323710351,4.606070488304243,5.8563479118688315,7.10662533543342
integrated,income_p10,2,2527.8232902754735,535.4745954207424,2187.0493444578565,2527.8232902754735,2868.5972360930905
integrated,equity_gap,2,0.002018524540874185,0.002854624781594043,0.0002018524541467014,0.002018524540874185,0.0038351966276016685
integrated,mountain_gap,2,0.001514856631851176,0.002142330793746804,0.00015148566322836432,0.001514856631851176,0.0028782276004739875
integrated,fiscal_cumulative,2,2105.0406262380893,99.63214863571369,2041.6351151060403,2105.0406262380893,2168.446137370139
voucher,mitigation_rate,2,0.01605525161316805,0.010300119976564598,0.009500295398950585,0.01605525161316805,0.022610207827385514
voucher,effective_use_rate,2,0.10683760683760675,0.0543928293220421,0.07222222222222215,0.10683760683760675,0.14145299145299134
voucher,mean_wait_days,2,14.226304428392679,6.581501864425568,10.037862289538177,14.226304428392679,18.41474656724718
voucher,income_p10,2,2500.089468571602,827.5895963337099,1973.4146745252988,2500.089468571602,3026.764262617906
voucher,equity_gap,2,0.0015212458052200329,0.002151366449392083,0.00015212458055590224,0.0015212458052200329,0.0028903670298841633
voucher,mountain_gap,2,0.0011535072333899658,0.0016313055737229853,0.00011535072335972474,0.0011535072333899658,0.0021916637434202064
voucher,fiscal_cumulative,2,1843.0684744086664,724.1207650664103,1382.2408413698618,1843.0684744086664,2303.896107447471
voucher_plus_capacity,mitigation_rate,2,0.0227181548765235,0.005410206192593335,0.01927512073876332,0.0227181548765235,0.02616118901428368
voucher_plus_capacity,effective_use_rate,2,0.1666666666666666,0.06648012472694036,0.12435897435897429,0.1666666666666666,0.2089743589743589
voucher_plus_capacity,mean_wait_days,2,5.098977832042282,1.8332506634038677,3.932304253905431,5.098977832042282,6.2656514101791325
voucher_plus_capacity,income_p10,2,2456.6447202055874,210.5886629518842,2322.6269157527304,2456.6447202055874,2590.6625246584445
voucher_plus_capacity,equity_gap,2,0.0019374296978279253,0.0027399393547540398,0.00019374296982009788,0.0019374296978279253,0.0036811164258357524
voucher_plus_capacity,mountain_gap,2,0.0014629184646053597,0.002068879133253562,0.0001462918464843134,0.0014629184646053597,0.002779545082726406
voucher_plus_capacity,fiscal_cumulative,2,2548.3945439493855,63.87716319585787,2507.7433662165095,2548.3945439493855,2589.045721682261
