parameter_draw,rep,seed,scenario,mitigation_rate,effective_use_rate,mean_wait_days,income_p10,equity_gap,mountain_gap,fiscal_cumulative
0,0,81001,baseline,0.0269977039566131,0.1965811965811965,9.532161055595386,2895.0541140774258,2.9469618855065955e-14,2.478952332183951e-14,0.0
0,0,81001,voucher,0.0233385362956319,0.1452991452991452,9.572479829665454,3085.283684178606,3.7665517869594437e-14,2.3031298776786282e-14,2355.099177785116
0,0,81001,voucher_plus_capacity,0.0265437483629237,0.2136752136752136,3.80267385633467,2605.553391819873,4.145037230985216e-14,2.6419345464822503e-14,2593.562519208136
0,0,81001,integrated,0.0494648360590666,0.2393162393162393,4.467150774574844,2906.4610078506034,6.586989213912243e-14,4.8051887412582535e-14,2034.5900583135904
1,0,82001,baseline,0.0088148057054562,0.0769230769230769,20.499701847458983,2114.439467555646,0.0025893962999656,0.0023240347400769,0.0
1,0,82001,voucher,0.0087719669307042,0.0683760683760683,18.880129027119903,1914.8952529645985,0.0030424916104024,0.0023070144667569,1331.0377710322168
1,0,82001,voucher_plus_capacity,0.0188925613901233,0.1196581196581196,6.395281807749893,2307.736048591302,0.0038748593956144,0.0029258369291843,2503.2265686906344
1,0,82001,integrated,0.0201021841633077,0.1367521367521367,7.245545049162819,2149.1855727003435,0.0040370490816825,0.0030297132636543,2175.4911941625887
