year,dry_spell_days,julaug_precip_mm,hot_days,rainstorm_days,heavy_rainstorm_days,max_1day_mm,max_3day_mm,county
1997,10,443.1999999999999,4,1,0,84.1,106.8,C4
1998,2,708.8,1,2,0,84.4,108.60000000000002,C4
1999,3,568.6999999999999,0,0,0,44.6,80.3,C4
2000,2,493.20000000000005,3,0,0,44.8,75.19999999999999,C4
2001,8,437.79999999999995,2,3,0,76.1,88.7,C4
2002,6,440.8,7,1,0,53.9,107.69999999999999,C4
2003,4,525.1999999999999,2,1,1,101.0,116.9,C4
2004,4,449.0,1,0,0,39.1,62.00000000000001,C4
2005,3,766.6999999999999,0,2,1,107.7,139.3,C4
2006,13,437.5,23,1,0,67.9,84.89999999999999,C4
2007,4,629.8000000000001,1,3,0,83.1,104.5,C4
2008,5,421.70000000000005,1,0,0,46.6,92.10000000000001,C4
2009,4,450.9,5,3,1,122.0,137.9,C4
2010,5,556.5,8,0,0,49.4,85.30000000000001,C4
2011,10,181.6,25,0,0,33.6,40.800000000000004,C4
2012,5,536.4999999999999,6,1,0,89.0,99.80000000000001,C4
2013,5,562.7,4,0,0,45.3,74.0,C4
2014,4,371.8,4,0,0,41.8,78.4,C4
2015,7,376.8,5,2,0,57.5,77.6,C4
2016,4,451.7,11,2,0,88.3,149.4,C4
2017,6,421.6,8,0,0,41.3,76.69999999999999,C4
2018,6,717.5000000000002,3,2,0,70.8,103.9,C4
2019,9,419.1,8,0,0,38.0,77.4,C4
2020,3,433.0,1,1,0,62.0,82.7,C4
2021,9,427.49999999999994,3,1,0,76.3,91.0,C4
2022,18,174.4,38,1,0,51.3,88.80000000000001,C4
2023,4,504.20000000000005,15,0,0,40.0,95.5,C4
2024,5,458.4999999999999,17,1,0,68.3,111.5,C4
1991,5,340.29999999999995,0,2,0,63.7,116.0,C5
1992,6,369.00000000000006,4,1,1,100.3,163.10000000000002,C5
1993,3,445.79999999999995,0,3,1,106.0,209.8,C5
1994,10,340.9,16,2,0,78.7,149.2,C5
