file,key,path,read_by_code,value
disruptions.yaml,price_multiplier_range,tier2_extensions.model.price_multiplier_range,True,
disruptions.yaml,probability_by_county,tier1.model.probability_by_county,True,
disruptions.yaml,season_window,tier1.season_window,True,
disruptions.yaml,severity_distribution,tier1.model.severity_distribution,True,beta
disruptions.yaml,severity_params,tier1.model.severity_params,True,
disruptions.yaml,source,calibration.source,True,"Open-Meteo ERA5 reanalysis, daily, 1991-2024"
disruptions.yaml,spatial_correlation,tier1.model.spatial_correlation,True,0.556
disruptions.yaml,tech_availability_multiplier,tier1.model.tech_availability_multiplier,True,0.35
disruptions.yaml,terrain_multiplier,tier1.model.terrain_multiplier,True,
disruptions.yaml,tier1,tier1,True,
disruptions.yaml,tier2_extensions,tier2_extensions,True,
disruptions.yaml,warning_lead_time_days,tier1.model.warning_lead_time_days,True,
disruptions.yaml,yield_damage_max,tier1.model.yield_damage_max,True,0.45
model_params.yaml,P1,scenarios.instruments.P1,True,
model_params.yaml,P2,scenarios.instruments.P2,True,
model_params.yaml,P3,scenarios.instruments.P3,True,
model_params.yaml,P4,scenarios.instruments.P4,True,
model_params.yaml,P5,scenarios.instruments.P5,True,
model_params.yaml,P6,scenarios.instruments.P6,True,
model_params.yaml,P7,scenarios.instruments.P7,True,
model_params.yaml,access_cost_scale,behaviour.frictions.access_cost_scale,True,260.0
model_params.yaml,age_years,risk_attitude.farmer.covariates.age_years,True,0.0035
model_params.yaml,annual_inflow,sd.stocks.government_budget.annual_inflow,True,1.2e7
model_params.yaml,base_verifiability,contract.verifiability.base_verifiability,True,0.25
model_params.yaml,base_yield_value_per_mu,production.base_yield_value_per_mu,True,1250.0
model_params.yaml,behaviour,behaviour,True,
model_params.yaml,belief_update,behaviour.belief_update,True,
model_params.yaml,c,risk_attitude.government.c,True,0.45
model_params.yaml,capable_farmers,sd.stocks.capable_farmers,True,
model_params.yaml,carryover_share,sd.stocks.government_budget.carryover_share,True,0.6
model_params.yaml,centre,risk_attitude.farmer.prior_loss_proxy.centre,True,0.45
model_params.yaml,choice_rule,behaviour.choice_rule,True,softmax
model_params.yaml,commissioning_lag_years,sd.stocks.service_capacity.commissioning_lag_years,True,0.5
model_params.yaml,consecutive_bad_seasons,behaviour.exit_rule.consecutive_bad_seasons,True,2
model_params.yaml,contract,contract,True,
model_params.yaml,cooperative_member,risk_attitude.farmer.covariates.cooperative_member,True,-0.06
model_params.yaml,counties,population.counties,True,
model_params.yaml,covariates,risk_attitude.farmer.covariates,True,
model_params.yaml,critical_window_months,production.crop_calendar.critical_window_months,True,
model_params.yaml,crop_calendar,production.crop_calendar,True,
model_params.yaml,damage_mult_moderate,behaviour.risk_framing.damage_mult_moderate,True,0.62
model_params.yaml,damage_mult_severe,behaviour.risk_framing.damage_mult_severe,True,2.14
model_params.yaml,decay_to_mean,sd.stocks.institutional_trust.decay_to_mean,True,0.1
