rep,scenario,mitigation_rate,mean_wait_days,effective_use_rate
0,baseline,0.0534395940716056,16.03984163894691,0.15500000000000003
0,voucher,0.054098647404905574,18.64777069415458,0.1615
0,voucher_plus_capacity,0.08078151648478551,1.7390719123699285,0.20249999999999999
1,baseline,0.027377470624008582,15.006747431109215,0.0975
1,voucher,0.02984799312523312,18.7060511269859,0.11900000000000002
1,voucher_plus_capacity,0.05960935746745882,1.9100664476697495,0.24500000000000002
2,baseline,0.04793236792051199,18.73316533474823,0.161
2,voucher,0.05547902304899177,21.659310055111526,0.16050000000000003
2,voucher_plus_capacity,0.08708226949145259,1.9847965255855105,0.25749999999999995
3,baseline,0.06835305183812944,22.13391806382493,0.17550000000000002
3,voucher,0.08034706521111849,23.922692156391925,0.2085
3,voucher_plus_capacity,0.12790506416782904,2.0916047489046417,0.32499999999999996
4,baseline,0.022380840960035765,17.141153020227996,0.12250000000000001
4,voucher,0.02326581103536447,23.348517894798142,0.1395
4,voucher_plus_capacity,0.038312766423934504,3.111781190606652,0.153
5,baseline,0.019682832105140775,21.593906841246152,0.121
5,voucher,0.028257524430218117,25.518711698755276,0.1105
5,voucher_plus_capacity,0.05336694930909284,3.325693235153474,0.281
6,baseline,0.02922297779714538,16.090998685225923,0.16099999999999998
6,voucher,0.030645372229158436,21.79279594584409,0.187
6,voucher_plus_capacity,0.05177927686066662,2.2389933643996227,0.255
7,baseline,0.04171547634066579,14.019476957654053,0.15250000000000002
7,voucher,0.04075738047721789,19.405504108914307,0.14899999999999997
7,voucher_plus_capacity,0.08396146399613993,2.001893427771666,0.2665
