c1,c1_realised,risk_stress,area,liquidity,literacy,terrain,irrigation,adopt,used,effort,experience,loss,income,orthogonal,seed
0.4806102496214868,0.5059602496214868,0.02535,20.75769784004837,0.3576864809363118,0.417049324209704,plain,1,0,0,0.0,8,0.06316680707930836,15027.010941045379,True,11
0.7137547064494512,0.7391047064494511,0.02535,8.027666969264775,0.19414455593693677,0.2744031126329352,plain,1,0,0,0.0,6,0.061278296347187386,6749.742049413886,True,11
0.4969600185634704,0.5223100185634704,0.02535,32.32338481498619,0.45851112511852676,0.33358532783207007,plain,1,0,0,0.0,4,0.06317931613171815,26295.2241964695,True,11
0.6975510163164166,0.6975510163164166,0.0,9.803620778931979,0.7070842249943733,0.4321598045810312,plain,1,1,1,0.3333333333333333,8,0.056601487157095655,9771.403587865701,True,11
0.5724550249651464,0.5978050249651464,0.02535,11.413289738126396,0.5682385598566345,0.8086435211289391,plain,1,0,0,0.0,4,0.06317931413609286,8763.441885158007,True,11
0.8084142278596224,0.8337642278596223,0.02535,62.919860403120616,0.49533454527732607,0.725318638410704,plain,1,0,0,0.0,3,0.06282417991318302,51959.95026881916,True,11
0.4163976594125869,0.44174765941258687,0.02535,18.83666410898705,0.6165356669678626,0.30273273278291646,plain,0,0,0,0.0,5,0.07002204753518909,15089.843039193094,True,11
0.597705391575117,0.623055391575117,0.02535,23.168181834729186,0.24752526862067514,0.39376383601194836,plain,0,0,0,0.0,7,0.06700176070078791,16818.972670034393,True,11
0.5160961062915382,0.5414461062915382,0.02535,40.698550964397164,0.6949428276137452,0.3056336159491729,plain,1,1,1,0.4780243652327038,9,0.06283192350438348,29731.498204903863,True,11
0.8036567149265198,0.8036567149265198,0.0,9.604234808616122,0.39268608233034613,0.5018744853326375,plain,1,1,1,0.14938549261975065,2,0.05903045931318708,6830.042638819694,True,11
0.43766004675311276,0.46301004675311275,0.02535,11.105286995171094,0.7463802940759179,0.1835310912350845,plain,1,0,0,0.0,3,0.06316826934425779,9474.990810533967,True,11
0.6638499050096768,0.6891999050096768,0.02535,27.32397518245934,0.15824168208422443,0.4149080436494274,plain,1,1,1,0.14838240488231846,10,0.06296449652280624,22801.438737972596,True,11
0.6780215868510017,0.7033715868510017,0.02535,15.474322271249802,0.3757178133777868,0.6264557667593434,plain,1,0,0,0.0,9,0.06317141668446169,12483.853880616862,True,11
0.699826560256233,0.725176560256233,0.02535,26.58463824234266,0.5883795726942143,0.9295599935751551,plain,0,0,0,0.0,7,0.06983434865650472,18788.375221704417,True,11
0.646381516300672,0.671731516300672,0.02535,56.337309716737984,0.23758895651292816,0.853820479913306,plain,1,0,0,0.0,11,0.06297938680686108,41440.92903551536,True,11
