c1,c1_realised,risk_stress,area,liquidity,literacy,terrain,irrigation,adopt,used,effort,experience,loss,income,orthogonal,seed
0.6540723083721278,0.6794223083721278,0.02535,20.75769784004837,0.3576864809363118,0.417049324209704,plain,1,0,0,0.0,6,0.06316649738761031,15035.322194497445,False,11
0.2009018025387997,0.2262518025387997,0.02535,8.027666969264775,0.19414455593693677,0.2744031126329352,plain,1,1,1,0.18684512438199163,4,0.06300110521332589,6729.4077441271,False,11
0.5807653290080333,0.6061153290080333,0.02535,32.32338481498619,0.45851112511852676,0.33358532783207007,plain,1,1,1,0.18333333333333335,11,0.06315348689541427,26121.669263638458,False,11
0.33137035439041207,0.33137035439041207,0.0,9.803620778931979,0.7070842249943733,0.4321598045810312,plain,1,0,0,0.0,5,0.05409569618730088,9849.445704098429,False,11
0.28909275405847124,0.3144427540584712,0.02535,11.413289738126396,0.5682385598566345,0.8086435211289391,plain,1,1,1,0.29512802293623575,10,0.06316478149150459,8715.741395744344,False,11
0.4033142994465583,0.42866429944655826,0.02535,62.919860403120616,0.49533454527732607,0.725318638410704,plain,1,1,1,0.30633381466822995,7,0.062186148271677955,51899.13940236192,False,11
0.4060189649730852,0.4313689649730852,0.02535,18.83666410898705,0.6165356669678626,0.30273273278291646,plain,0,0,0,0.0,5,0.07019534489444615,15086.708234777781,False,11
0.5319764915711913,0.5573264915711913,0.02535,23.168181834729186,0.24752526862067514,0.39376383601194836,plain,0,0,0,0.0,8,0.06398991547762967,16895.024628257786,False,11
0.4996010408216554,0.5249510408216554,0.02535,40.698550964397164,0.6949428276137452,0.3056336159491729,plain,1,1,1,0.3168849114208278,7,0.06286022270369238,29746.31347729144,False,11
0.49047723026143136,0.49047723026143136,0.0,9.604234808616122,0.39268608233034613,0.5018744853326375,plain,1,0,0,0.0,3,0.06016612386362743,6803.857017238894,False,11
0.44480911439739435,0.47015911439739433,0.02535,11.105286995171094,0.7463802940759179,0.1835310912350845,plain,1,0,0,0.0,3,0.06286883384608183,9468.472474711372,False,11
0.35754571929449724,0.3828957192944972,0.02535,27.32397518245934,0.15824168208422443,0.4149080436494274,plain,1,1,1,0.41286864283752794,5,0.06316907948599434,22819.894129015272,False,11
0.2606163976671829,0.2606163976671829,0.0,15.474322271249802,0.3757178133777868,0.6264557667593434,plain,1,0,0,0.0,4,0.059803270084600214,12594.897132460124,False,11
0.4550164274153661,0.48036642741536606,0.02535,26.58463824234266,0.5883795726942143,0.9295599935751551,plain,0,1,1,0.17188579796207784,5,0.06989787260515687,18850.091135226066,False,11
0.3980425348266717,0.3980425348266717,0.0,56.337309716737984,0.23758895651292816,0.853820479913306,plain,1,1,1,0.16633616485571337,16,0.05887219121481156,41135.50071721878,False,11
0.48943374801311956,0.5147837480131195,0.02535,54.912473595080655,0.2993861036612492,0.34770922309532226,plain,1,1,1,0.1730734275841274,11,0.06298240337686095,40275.052827618834,False,11
0.4175868771090421,0.44293687710904206,0.02535,23.064245576874043,0.5037125620383598,0.3948008793958405,plain,0,0,0,0.0,8,0.0643438921900504,19512.07964553366,False,11
0.27954067412781874,0.30489067412781873,0.02535,11.132281788976774,0.26799007321733354,0.4968355098914207,plain,1,1,1,0.29512802293623575,7,0.06317592556215837,8308.195104824128,False,11
0.3297192983749039,0.35506929837490386,0.02535,17.95369992873368,0.5105713614243355,0.5777642275324826,plain,1,1,1,0.2169231439420216,5,0.06317810095228923,14825.44535037275,False,11
0.32222358943670426,0.34757358943670424,0.02535,37.818628250496005,0.7549606569018216,0.24227470744285068,plain,1,0,0,0.0,9,0.06317581499921265,30500.64734539715,False,11
0.36490070871009894,0.3902507087100989,0.02535,21.63647557573455,0.3597746393103666,0.515514811113617,plain,0,0,0,0.0,5,0.06717963861790281,14456.968593582107,False,11
0.5955696887669898,0.5955696887669898,0.0,14.79046443063853,0.2181440406627267,0.2659595223373899,plain,1,0,0,0.0,9,0.060693842389599906,11679.369851892458,False,11
