target_mean_c1,seed,realised_mean_c1,adopt,effective_use,effort_T3,mitigation,loss,income_p10
0.25,11,0.33596913334643363,0.11433333333333334,0.1295,0.6284748806645291,0.023808978934862262,0.02635828751596351,2385.2133034287954
0.25,12,0.3245059211925392,0.10116666666666667,0.1035,0.6170685692263881,0.01821222667273788,0.060023378089940835,1964.4824910932446
0.25,13,0.32205073992715955,0.16016666666666665,0.1915,0.6433315880761559,0.05141942917398505,0.04826133002385345,2766.524064889871
0.25,14,0.3443363734839723,0.10566666666666669,0.0905,0.5286614057908385,0.01301631046599529,0.022281946471088783,2515.8302553333383
0.25,15,0.3393514944708429,0.11099999999999999,0.14049999999999999,0.6887091219704166,0.030067927545034696,0.06778285590974904,2157.0080892645456
0.4,11,0.48332202447582384,0.11366666666666668,0.1085,0.6302782278913244,0.023566491308855235,0.026376080581517795,2385.5158169817196
0.4,12,0.4729338117031356,0.09683333333333334,0.0905,0.6561522353847391,0.01832194721067487,0.06005659450086872,1973.918946784029
0.4,13,0.4700796053545374,0.15916666666666668,0.203,0.6457102910803276,0.05014413474367761,0.048468040709783,2770.2978038499045
0.4,14,0.49325419147827243,0.11483333333333334,0.096,0.5476378665256116,0.015408798476370722,0.02222373410164839,2519.041013949941
0.4,15,0.48666871655522775,0.11016666666666668,0.135,0.7082834060867987,0.02905539478310465,0.06789415331170781,2148.4961314465772
0.55,11,0.6330235773427322,0.12150000000000001,0.129,0.668263873163781,0.024579471053800688,0.026350304568491863,2385.5158169817196
0.55,12,0.6228876830507278,0.10833333333333334,0.0995,0.6946255400621891,0.020980929521051614,0.059924453323165004,1964.4824910932446
0.55,13,0.6200796053545374,0.16783333333333336,0.182,0.6707178381706843,0.047962939005301276,0.048313219202504754,2768.1571593362473
0.55,14,0.6432541914782725,0.11833333333333335,0.12349999999999998,0.5603503052654915,0.013926931986002731,0.022212433491213986,2516.0033244605615
0.55,15,0.6369187468768047,0.11516666666666665,0.1585,0.7514379216428467,0.030634457102892688,0.06787835042242345,2148.2781943439722
0.7,11,0.7755625939330179,0.12383333333333334,0.136,0.687267836590127,0.025276345061083772,0.026304876439566322,2386.942065694346
0.7,12,0.7647205141101403,0.11683333333333334,0.148,0.7043863937430503,0.02759861515391006,0.05966774516710188,1967.9890865590473
0.7,13,0.7629962627273335,0.18000000000000002,0.22150000000000003,0.6933805867038177,0.056423236284448355,0.04788031351980314,2766.6498601012836
0.7,14,0.7839967094774226,0.12849999999999998,0.15250000000000002,0.5816549827503187,0.019177629111281694,0.022191013999353703,2515.6994435975002
0.7,15,0.7763029112861504,0.11833333333333333,0.173,0.73702046311204,0.03336436758146406,0.06767876821105731,2154.6644168365824
0.85,11,0.8712820392761642,0.13416666666666666,0.17550000000000002,0.7130556414423864,0.031850107109421086,0.026233619999283992,2378.3590511404936
0.85,12,0.8685244971454131,0.11333333333333333,0.132,0.7400834893759166,0.026364703548583814,0.059667337452090644,1964.4824910932446
0.85,13,0.8639044963396052,0.18016666666666667,0.209,0.7208985781500713,0.05447630075635838,0.048036050019285306,2764.837186904899
0.85,14,0.87678825991971,0.12466666666666666,0.147,0.6168908233442995,0.01723925814472809,0.02213481024478057,2516.860432805248
0.85,15,0.8696611335307551,0.11749999999999998,0.171,0.7496746395227415,0.035611179292453395,0.06769177298111886,2149.1245757645856
